id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
190,a,,,4.0,648,189,0,0,0,0,1.0,185,69,13,3,4.3,70,28,1,40,4.3,55,19,1.1,3.2,0,94314,6751,18433,1225,2.8,3.8,0.0,0.01,0.01,5.57,0.0,0.0,0.0,1.91,65.8,44,14,15.1,158,47,14.0,142,22,9.5,80,18,,,,3,,Hjalmar,Ekdal,Ekdal,,,262,0,0,1,5,0,0,0,0,0,0,3,31,,,,0.0,0.34,1.72,1.03,10.65
120,a,100.0,100.0,7.0,39,25,0,0,0,0,0.3,297,95,4,0,1.3,263,132,0,9,1.3,239,118,0.2,0.6,0,11022,214,11828,1260,0.8,1.8,1.05,0.06,1.11,2.78,0.45,0.03,0.48,1.18,27.6,160,60,18.9,127,83,42.0,43,21,8.9,94,56,,,,3,,Kevin,Schade,Schade,,2025-08-09T14:00:04.851048+00:00,212,0,0,1,1,0,0,1,0,0,0,2,21,,,,0.0,0.42,0.42,0.85,8.92
121,a,,,5.9,107,72,0,0,-1,1,0.9,191,65,7,2,3.5,112,42,0,24,2.3,165,70,0.4,1.2,0,20199,381,37788,2079,1.8,2.8,0.06,0.52,0.58,2.78,0.03,0.26,0.29,1.39,39.2,107,38,81.8,9,9,18.0,120,76,13.9,38,24,2.0,3.0,,3,,Mikkel,Damsgaard,Damsgaard,,,180,0,0,1,2,0,0,0,0,0,0,2,17,,,,0.0,0.5,1.0,1.0,8.5
122,a,,,5.4,210,133,0,0,-1,1,0.1,562,218,1,0,1.0,318,158,0,5,0.3,350,171,0.1,0.2,0,763,32,2505,160,-0.2,0.8,0.0,0.01,0.01,1.49,0.0,0.02,0.02,2.98,4.0,304,150,1.8,277,153,0.0,664,293,0.6,325,163,,,,3,,Antoni,Milambo,Milambo,,,45,0,0,0,3,0,0,0,0,0,0,1,4,,,,0.0,0.0,6.0,2.0,8.0
123,a,,,5.0,268,166,0,0,0,0,0.2,334,112,3,1,1.5,245,126,0,10,1.0,258,128,0.2,0.6,0,5180,155,12582,810,0.5,1.5,0.03,0.03,0.06,1.99,0.03,0.03,0.06,1.97,5.4,282,135,5.1,227,133,3.0,247,138,1.3,301,151,4.0,,,3,,Fábio,Freitas Gouveia Carvalho,Carvalho,,,91,0,0,0,4,0,0,0,0,0,0,1,7,,,,0.0,0.0,3.96,0.99,6.92
124,a,,,5.0,223,143,0,0,0,0,0.3,323,107,7,3,2.3,179,82,0,19,2.3,152,59,0.5,1.4,0,4490,311,8759,504,1.8,2.8,0.03,0.01,0.04,1.41,0.02,0.01,0.03,0.8,13.6,232,102,10.1,193,117,5.0,224,127,2.9,266,131,,,,3,,Jordan,Henderson,Henderson,,,159,0,0,2,0,0,0,0,0,0,0,2,17,,,,0.0,1.13,0.0,1.13,9.62
125,d,25.0,25.0,4.9,328,209,0,0,-1,1,0.0,672,293,0,0,0.0,614,257,0,0,0.0,614,257,0.0,0.0,0,52,2,946,21,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609,251,0.0,600,253,0.0,574,244,0.0,612,253,,,,3,,Vitaly,Janelt,Janelt,Lack of match fitness - 25% chance of playing,2025-08-09T14:00:04.867824+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
126,a,,,5.0,252,157,0,0,0,0,0.1,512,179,3,0,1.5,244,125,0,15,1.0,257,127,0.2,0.6,0,1029,24,2986,215,0.5,1.5,0.13,0.04,0.17,2.1,0.15,0.05,0.2,2.39,12.4,237,106,25.7,96,69,8.0,184,109,4.6,201,100,3.0,,,3,,Mathias,Jensen,Jensen,,,79,0,0,0,3,0,0,0,0,0,0,1,8,,,,0.0,0.0,3.42,1.14,9.11
127,i,0.0,0.0,5.0,314,198,0,0,0,0,0.0,682,300,0,0,0.0,663,290,0,0,0.0,663,290,0.0,0.0,0,58,4,555,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,286,0.0,655,287,0.0,641,281,0.0,661,288,,,,3,,Gustavo,Nunes Fernandes Gomes,Nunes,Hamstring injury - Unknown return date,2025-08-09T14:00:04.884092+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
129,a,,,5.0,302,189,0,0,0,0,0.1,530,190,9,2,3.0,136,56,0,37,3.0,107,40,0.6,1.8,0,3497,99,1854,134,2.5,3.5,0.12,0.03,0.15,4.4,0.04,0.01,0.05,1.53,35.6,127,47,19.0,126,82,15.0,138,89,6.9,138,71,,,,3,,Yehor,Yarmoliuk,Yarmoliuk,,,258,0,0,1,5,0,0,0,0,0,0,3,31,,,,0.0,0.35,1.74,1.05,10.81
