player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
593,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,76,0,0,0,0.0,0.0,0,0,0,1,37,17,0.0,0.0,5,0,0.0,2,0.0,0,0,2,1,3,2,0,5,9,3,0.0,2,0.0,3,6,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,76,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
597,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,5,31,5,0.0,1.0,0,0,0.0,0,0.0,0,0,0,1,3,3,1,5,7,1,0.0,4,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,97,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,9,0,0,0,0.0,0.0,0,0,0,1,11,5,0.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,81,97,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,9,0,0,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,81,97,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347,25-26-prem-leeds-united-vs-newcastle-united,80,0,0,0,0.0,0.03,0,0,0,1,51,28,0.0,2.0,5,1,0.0,0,0.0,2,0,2,1,2,0,0,3,0,3,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
287,25-26-prem-wolverhampton-wanderers-vs-everton,90,0,0,0,0.0,0.01,0,0,0,0,47,20,0.0,0.0,21,0,0.0,12,0.0,0,0,8,0,3,0,0,0,0,0,0.0,0,0.0,0,0,2,2,1.16,-0.84,4,20,12,,1,0,0,0,0.0,0.0,0.0,0,0,96,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
660,25-26-prem-leeds-united-vs-newcastle-united,90,0,0,3,0.18,0.02,0,0,0,3,44,20,0.0,3.0,4,1,0.0,1,0.0,1,1,2,0,1,1,0,5,3,3,0.0,2,0.0,1,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
301,25-26-prem-wolverhampton-wanderers-vs-everton,2,0,0,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,88,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
237,25-26-prem-chelsea-vs-fulham,90,1,1,1,0.79,0.24,1,0,0,5,69,40,0.0,3.0,12,1,0.0,2,0.0,0,2,3,0,1,1,1,3,6,2,0.0,1,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.76,0,0,96,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
249,25-26-prem-chelsea-vs-fulham,90,1,0,3,0.67,0.03,2,0,0,5,53,23,0.0,1.0,2,0,0.0,1,0.0,1,0,6,1,2,1,0,7,9,5,0.0,2,0.0,4,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,1.03,1,0,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
314,25-26-prem-chelsea-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,57,27,0.0,0.0,7,0,0.0,7,0.0,0,0,13,0,0,0,0,1,0,1,0.0,0,0.0,0,0,4,2,3.16,1.16,1,27,7,,1,0,0,0,0.0,0.0,0.0,1,0,96,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
241,25-26-prem-chelsea-vs-fulham,90,0,0,1,0.1,0.03,0,0,0,1,70,45,0.0,0.0,13,0,0.0,0,0.0,1,5,11,1,2,1,0,6,3,6,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,4,0,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
226,25-26-prem-chelsea-vs-fulham,90,0,0,3,0.11,0.22,0,0,0,2,80,52,0.0,0.0,5,1,0.0,2,0.0,3,4,2,1,1,0,0,11,3,8,0.0,3,0.0,3,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,5,0,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,25-26-prem-chelsea-vs-fulham,90,0,0,0,0.0,0.04,0,0,0,2,78,50,0.0,1.0,9,0,0.0,0,0.0,1,2,7,0,1,1,0,4,2,4,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
