id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
209,a,,,5.0,238,151,0,0,0,0,0.0,621,259,3,1,1.5,218,111,0,15,1.5,208,105,0.3,0.6,0,287,63,883,458,1.0,1.5,0.11,0.13,0.24,1.57,0.12,0.14,0.26,1.7,21.4,157,61,12.0,151,97,20.0,82,49,5.4,135,70,,,,3,,Josh,Laurent,Laurent,,,83,0,0,0,2,0,0,0,0,0,0,1,10,,,,0.0,0.0,2.17,1.08,10.84
100,a,,,4.5,511,65,0,0,0,0,1.2,174,29,2,1,1.0,260,25,0,5,1.0,243,24,0.2,0.4,0,67925,19754,52978,33050,1.0,1.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,5.1,0.0,555,45,0.0,550,45,2.0,235,31,0.2,335,34,,,,3,,Eli Junior,Kroupi,Kroupi.Jr,,,3,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,30.0,0.0,0.0
391,a,,,5.0,300,186,0,0,0,0,0.1,553,209,0,0,0.0,650,282,0,0,0.0,650,282,0.0,0.0,0,2508,492,2059,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646,277,0.0,646,281,0.0,626,270,0.0,650,280,,,,3,,Ben,Gannon-Doak,Gannon-Doak,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
685,a,,,4.5,422,102,0,0,0,0,0.3,304,113,10,10,5.0,62,26,2,36,5.0,56,24,1.1,2.2,1,19864,12724,6393,4348,5.0,5.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,1.34,35.6,92,40,1.1,279,96,0.0,449,194,3.7,189,64,,,,3,,Bafodé,Diakité,Diakité,,,180,0,0,1,4,0,0,0,0,0,0,2,19,,,,0.0,0.5,2.0,1.0,9.5
697,a,,,5.5,166,104,0,0,0,0,0.0,637,272,1,1,1.0,306,155,0,9,1.0,265,134,0.2,0.2,0,1557,1051,523,435,2.0,2.0,0.0,0.02,0.02,0.06,0.0,0.08,0.08,0.22,10.4,222,101,15.0,129,82,2.0,257,146,2.7,248,120,,,,3,,Amine,Adli,Adli,,,24,0,0,0,0,0,0,0,0,0,0,0,6,,,,0.0,0.0,0.0,0.0,22.5
83,a,100.0,100.0,6.0,93,63,0,0,0,0,1.3,158,52,13,13,13.0,2,1,3,33,6.5,25,9,1.1,2.2,1,110573,109532,21508,18712,7.0,6.5,0.77,0.02,0.79,1.1,0.83,0.02,0.85,1.19,50.4,41,19,3.7,219,129,56.0,20,9,11.0,40,29,,,,3,,Dango,Ouattara,O.Dango,,2025-08-14T16:00:05.815568+00:00,83,1,0,1,0,0,0,0,0,0,0,1,15,,,,0.0,1.08,0.0,1.08,16.27
101,a,100.0,100.0,4.5,400,22,0,0,0,0,10.4,38,6,6,5,3.0,122,12,0,25,3.0,115,12,0.7,1.3,0,106493,79076,131856,54163,3.5,3.0,0.0,0.01,0.01,3.05,0.0,0.0,0.0,1.52,21.8,156,18,0.0,473,59,0.0,435,56,2.2,259,18,,,,3,,Caoimhín,Kelleher,Kelleher,,2025-08-09T14:00:04.798673+00:00,180,0,0,1,3,0,0,0,1,0,4,2,0,,,,2.0,0.5,1.5,1.0,0.0
105,a,,,4.0,664,75,0,0,0,0,0.9,193,25,0,0,0.0,414,60,0,0,0.0,414,60,0.0,0.0,0,2942,1192,12082,6862,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406,60,0.0,397,44,0.0,350,40,0.0,416,60,,,,3,,Hákon Rafn,Valdimarsson,Valdimarsson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
106,a,,,5.0,276,45,0,0,0,0,1.8,132,52,9,9,4.5,77,33,1,25,4.5,70,32,0.9,1.8,0,31783,26942,30732,10373,5.0,4.5,0.02,0.01,0.03,3.05,0.01,0.0,0.01,1.52,30.6,116,52,0.5,299,105,11.0,137,24,4.2,173,58,,,,3,,Nathan,Collins,Collins,,,180,0,0,1,3,0,0,0,1,0,0,2,18,,,,0.0,0.5,1.5,1.0,9.0
107,a,,,5.0,271,44,0,0,0,0,0.5,257,93,7,6,3.5,108,48,0,16,3.5,101,47,0.7,1.4,0,8397,5488,7806,3457,4.0,3.5,0.12,0.0,0.12,3.05,0.07,0.0,0.07,1.74,13.4,201,81,5.3,205,59,9.0,155,35,2.8,241,85,,4.0,,3,,Keane,Lewis-Potter,Lewis-Potter,,,158,0,0,1,3,0,0,0,0,0,0,2,9,,,,0.0,0.57,1.71,1.14,5.13
