id,first_name,second_name,web_name,status,news,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
20,Leandro,Trossard,Trossard,a,,7.0,0.3,0.0,0,0,212,4343,0.0,0.0,3.3,2.1,-152.0,-2546.0,-8.0,-8.0,-11.0,-27.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-28.0,-18.0,-561.0,212.0,4343.0,0.0,-6.74,-4.12,-10.86,-24.76,-609.0,-617.6,-798.0,-202.1
39,Ian,Maatsen,Maatsen,a,,4.5,0.9,0.0,0,0,2203,7214,0.0,0.0,1.9,1.4,-57.0,-1125.0,-1.0,-2.0,-3.0,-16.0,0.0,0.0,0.0,-2.0,0.0,0.0,-10.0,0.0,-204.0,2203.0,7214.0,0.0,-0.87,-2.43,-3.3,-17.31,-252.0,-293.4,-197.0,-74.3
40,Tyrone,Mings,Mings,a,,4.5,1.1,6.0,6,0,21378,3883,1.3,1.3,1.9,1.4,-41.0,-1029.0,0.0,-1.0,-3.0,-11.0,0.0,0.0,0.0,-1.0,0.0,0.0,-11.0,-5.0,-182.0,21378.0,3883.0,0.0,-0.88,-0.23,-1.11,-11.77,-207.4,-45.5,-74.0,-32.9
41,Pau,Torres,Pau,a,,4.5,0.5,0.0,0,0,1810,3758,0.0,0.0,1.9,1.4,-55.0,-2019.0,0.0,0.0,-5.0,-33.0,0.0,0.0,0.0,-2.0,0.0,0.0,-23.0,-3.0,-254.0,1810.0,3758.0,0.0,-0.51,-0.43,-0.94,-29.69,-350.6,-84.5,-102.0,-54.0
63,Kadan,Young,Young,a,,4.5,0.7,0.0,0,0,3653,5069,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3653.0,5069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,Arnaud,Kalimuendo,Kalimuendo,a,,6.0,0.0,0.0,0,0,303,46,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Jackson,Tchatchoua,Tchatchoua,a,,4.5,0.0,0.0,0,0,79,11,0.0,0.0,1.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,David,Raya Martín,Raya,a,,5.5,18.2,10.0,10,0,97946,25351,1.8,1.8,5.0,4.5,-132.0,-3330.0,0.0,0.0,-12.0,-34.0,0.0,0.0,0.0,-2.0,0.0,-79.0,-37.0,-7.0,-517.0,97946.0,25351.0,1.0,0.0,-0.03,-0.03,-33.44,-705.6,-10.7,0.0,-71.7
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,4.5,0.9,0.0,0,0,1400,5686,0.0,0.0,3.3,2.8,-106.0,-2790.0,0.0,0.0,-8.0,-39.0,0.0,0.0,0.0,-3.0,0.0,-97.0,-31.0,-7.0,-406.0,1400.0,5686.0,0.0,-0.06,-0.03,-0.09,-38.83,-744.4,-10.4,-4.0,-75.8
3,Karl,Hein,Hein,a,,4.0,0.6,0.0,0,0,1966,2244,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0,2244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,4.0,0.2,0.0,0,0,483,689,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,a,,6.0,18.9,6.0,6,0,97304,34962,1.0,1.0,5.0,4.5,-111.0,-2273.0,-3.0,-2.0,-9.0,-22.0,0.0,0.0,0.0,-4.0,0.0,0.0,-27.0,-9.0,-437.0,97304.0,34962.0,0.0,-2.7,-1.21,-3.91,-21.5,-564.0,-208.5,-283.0,-105.7
6,William,Saliba,Saliba,a,,6.0,15.1,9.0,9,0,88127,26938,1.5,1.5,5.0,4.5,-121.0,-2949.0,-2.0,0.0,-11.0,-29.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-34.0,-13.0,-539.0,88127.0,26938.0,0.0,-2.42,-1.28,-3.7,-28.73,-641.0,-150.0,-116.0,-91.0
7,Riccardo,Calafiori,Calafiori,a,,5.5,1.8,13.0,13,0,66368,6591,2.4,2.4,4.3,3.8,-26.0,-907.0,-1.0,-1.0,0.0,-12.0,0.0,0.0,0.0,-3.0,0.0,0.0,-10.0,1.0,-108.0,66368.0,6591.0,1.0,-0.25,-0.6799999999999999,-0.93,-9.43,-215.6,-116.2,-141.0,-47.2
8,Jurriën,Timber,J.Timber,a,,5.5,2.2,0.0,0,0,7847,16360,0.0,0.0,4.3,3.8,-114.0,-2396.0,-1.0,-3.0,-11.0,-21.0,0.0,0.0,0.0,-6.0,0.0,0.0,-27.0,-9.0,-429.0,7847.0,16360.0,0.0,-1.23,-1.3,-2.53,-20.35,-390.0,-296.5,-254.0,-93.9
9,Jakub,Kiwior,Kiwior,a,,5.5,0.1,0.0,0,0,207,930,0.0,0.0,4.3,3.8,-43.0,-1117.0,-1.0,0.0,-3.0,-15.0,0.0,0.0,0.0,-1.0,0.0,0.0,-10.0,-2.0,-178.0,207.0,930.0,0.0,-0.17,-0.29,-0.46,-14.71,-267.2,-91.3,-32.0,-39.2
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,5.5,4.2,0.0,0,0,13962,32592,0.0,0.0,4.3,3.8,-37.0,-1344.0,-1.0,0.0,-5.0,-16.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-15.0,0.0,-238.0,13962.0,32592.0,0.0,-0.16,-0.51,-0.67,-15.909999999999998,-175.8,-170.7,-57.0,-40.0
11,Benjamin,White,White,a,,5.5,0.9,6.0,6,0,7413,3332,1.1,1.1,4.3,3.8,-44.0,-1125.0,0.0,-2.0,-4.0,-13.0,0.0,0.0,0.0,-2.0,0.0,0.0,-12.0,0.0,-188.0,7413.0,3332.0,0.0,-0.45,-1.29,-1.74,-16.029999999999998,-232.2,-151.29999999999998,-99.0,-48.2
12,Oleksandr,Zinchenko,Zinchenko,a,,5.0,0.4,0.0,0,0,2028,3406,0.0,0.0,3.6,3.1,-40.0,-518.0,0.0,-1.0,-4.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.0,-2.0,-141.0,2028.0,3406.0,0.0,-0.65,-0.52,-1.17,-3.21,-83.4,-92.8,-66.0,-24.1
13,Brayden,Clarke,Clarke,a,,4.0,0.6,0.0,0,0,3241,3530,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3241.0,3530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
