id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
1,a,,,5.5,130,3,0,0,0,0,21.4,19,3,16,6,8.0,17,3,3,66,8.0,10,2,1.5,2.9,1,320683,43344,86301,27621,7.5,9.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.84,62.6,15,1,0.0,657,82,0.0,644,82,6.2,80,1,,,,2,,David,Raya Martín,Raya,,,180,0,0,2,0,0,0,0,1,0,8,2,0,,,,4.0,1.0,0.0,1.0,0.0
20,a,100.0,100.0,7.0,31,18,0,0,0,0,0.3,295,94,1,1,1.0,315,163,0,4,0.5,325,165,0.1,0.1,0,1264,396,8384,1240,0.0,1.5,0.07,0.03,0.1,0.0,0.17,0.07,0.24,0.0,5.4,245,110,18.5,87,57,4.0,192,108,2.8,195,98,,,4.0,2,,Leandro,Trossard,Trossard,,2025-08-10T18:00:05.270079+00:00,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
24,i,0.0,0.0,5.4,199,124,-1,1,-1,1,0.4,278,87,0,0,0.0,653,286,0,0,0.0,653,286,0.0,0.0,0,1161,36,26287,5855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642,277,0.0,643,280,0.0,626,270,0.0,648,279,,,,2,,Christian,Nørgaard,Nørgaard,Knock - Expected back 13 Sep,2025-08-18T08:00:05.297235+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
190,a,,,4.0,643,187,0,0,0,0,0.4,281,103,10,9,5.0,56,24,1,29,5.0,44,18,1.2,2.5,0,15762,10676,4017,1365,4.5,5.0,0.0,0.01,0.01,2.99,0.0,0.0,0.0,1.5,41.6,46,17,14.8,107,29,12.0,101,16,6.8,71,21,,,,2,,Hjalmar,Ekdal,Ekdal,,,180,0,0,1,3,0,0,0,0,0,0,2,19,,,,0.0,0.5,1.5,1.0,9.5
194,i,0.0,0.0,4.0,613,167,0,0,0,0,0.2,414,160,0,0,0.0,366,121,0,0,0.0,366,121,0.0,0.0,0,584,16,3738,1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,126,0.0,338,126,0.0,285,93,0.0,360,130,,,,2,,Jordan,Beyer,Jordan,Knee injury - Expected back 14 Sep,2025-08-22T12:30:07.019474+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
195,a,,,4.0,675,210,0,0,0,0,0.2,422,164,0,0,0.0,418,154,0,0,0.0,418,154,0.0,0.0,0,412,99,2304,465,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,159,0.0,389,158,0.0,340,129,0.0,411,162,,,,2,,Lucas,Pires Silva,Lucas Pires,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
196,u,0.0,0.0,4.0,626,177,0,0,0,0,0.1,488,185,0,0,0.0,376,128,0,0,0.0,376,128,0.0,0.0,0,202,0,3350,866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357,133,0.0,348,133,0.0,296,101,0.0,370,137,,,,2,,Shurandy,Sambo,Sambo,Has joined Sparta Rotterdam on loan for the rest of the season.,2025-08-19T13:36:42.853472+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
197,a,,,4.0,667,203,0,0,0,0,0.2,424,165,2,1,1.0,233,78,0,-3,1.0,221,73,0.2,0.5,0,1728,154,1829,362,0.5,1.0,0.03,0.08,0.11,2.24,0.03,0.08,0.11,2.14,4.6,251,97,16.4,92,23,6.0,148,34,2.7,196,66,,,,2,,Oliver,Sonne,Sonne,,,94,0,0,0,3,0,0,0,0,0,0,1,0,,,,0.0,0.0,2.87,0.96,0.0
198,d,75.0,75.0,4.0,598,157,0,0,0,0,2.1,125,49,0,0,0.0,354,114,0,0,0.0,354,114,0.0,0.0,0,3360,80,33751,9315,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,119,0.0,325,118,0.0,271,84,0.0,348,123,,,,2,,Axel,Tuanzebe,Tuanzebe,Lack of match fitness - 75% chance of playing,2025-08-22T12:30:07.036752+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
199,a,,,4.0,601,160,0,0,0,0,0.1,448,169,1,1,1.0,229,74,0,4,0.5,266,85,0.1,0.2,0,458,100,1911,339,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.29,6.0,235,91,0.0,327,120,0.0,273,86,0.6,286,98,,,,2,,Joe,Worrall,Worrall,,,7,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,38.57
