id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
390,s,0.0,,5.5,175,112,0,0,0,0,0.1,505,178,92,0,2.5,188,80,1,568,0.0,528,203,0.0,16.7,0,0,0,0,0,0.0,,1.13,3.5,4.63,33.06,0.03,0.1,0.13,0.94,550.6,105,43,473.9,74,60,121.0,204,117,114.7,114,70,,,,0,
391,a,,,5.0,325,201,0,0,0,0,0.1,625,264,0,0,0.0,630,270,0,0,0.0,438,143,0.0,0.0,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,270,0.0,629,270,0.0,622,267,0.0,630,270,,,,0,
392,a,,,5.0,234,149,0,0,0,0,0.1,532,191,21,0,1.1,334,158,0,82,0.0,347,91,0.0,4.2,0,0,0,0,0,2.5,,0.0,0.09,0.09,4.25,0.0,0.03,0.03,1.48,57.6,326,152,38.2,296,158,6.0,331,172,10.0,332,161,,,,0,
395,u,0.0,,4.5,434,237,0,0,0,0,0.0,656,291,0,0,0.0,514,193,0,0,0.0,205,11,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,192,0.0,507,192,0.0,487,184,0.0,511,192,,,,0,
396,a,,,4.5,539,295,0,0,0,0,0.1,522,186,0,0,0.0,587,240,0,0,0.0,310,69,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586,239,0.0,582,239,0.0,567,234,0.0,586,239,,,,0,
397,u,0.0,,6.5,65,20,0,0,0,0,0.9,200,35,66,0,2.2,226,23,6,244,0.0,625,56,0.0,10.2,0,0,0,0,0,0.0,,5.76,0.51,6.27,16.85,0.47,0.04,0.51,1.36,263.8,216,19,151.6,202,22,404.0,78,21,81.2,166,21,,,,0,
398,a,,,4.5,482,58,0,0,0,0,0.2,426,65,1,0,1.0,355,34,0,2,0.0,253,6,0.0,0.2,0,0,0,0,0,2.0,,0.0,0.01,0.01,0.45,0.0,0.09,0.09,4.05,0.0,544,39,0.3,372,36,0.0,521,39,0.0,544,39,,,,0,
661,a,,,8.5,12,5,0,0,0,0,10.2,43,10,0,0,0.0,680,72,0,0,0.0,673,69,0.0,0.0,0,0,0,0,0,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680,72,0.0,680,72,0.0,680,72,0.0,680,72,,,,0,
182,a,,,5.0,291,15,0,0,0,0,2.7,105,17,0,0,0.0,615,80,0,0,0.0,404,75,0.0,0.0,0,0,0,0,0,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,80,0.0,612,79,0.0,604,75,0.0,615,80,,,,0,
404,a,,,5.5,149,17,0,0,0,0,0.7,220,76,61,0,2.3,210,73,1,307,0.0,502,201,0.0,11.1,0,0,0,0,0,3.8,,1.57,1.3,2.87,29.72,0.07,0.06,0.13,1.33,339.8,188,69,249.8,146,30,100.0,223,73,68.9,200,63,,,,0,
405,a,,,5.5,126,13,0,0,0,0,0.6,243,86,25,0,2.5,185,64,0,121,0.0,479,197,0.0,4.5,0,0,0,0,0,3.8,,0.22,0.17,0.39,13.44,0.03,0.02,0.05,1.79,104.6,304,111,33.7,301,114,20.0,304,113,15.9,314,113,,,,0,
406,a,,,5.5,211,31,0,0,0,0,0.3,306,113,14,0,2.3,212,74,0,78,0.0,564,215,0.0,2.5,0,0,0,0,0,3.8,,0.02,0.09,0.11,6.98,0.0,0.02,0.02,1.25,102.0,307,112,33.9,300,113,4.0,337,128,14.1,318,115,,,,0,
407,a,,,5.5,181,24,0,0,0,0,0.5,252,89,81,0,3.1,129,35,6,373,0.0,534,208,0.0,14.7,0,0,0,0,0,3.8,,1.11,3.32,4.43,24.87,0.06,0.18,0.24,1.34,370.4,170,59,422.4,85,16,206.0,148,25,99.9,129,33,,,4.0,0,
409,a,,,5.5,119,11,0,0,0,0,0.5,258,92,29,0,2.6,173,57,2,92,0.0,472,195,0.0,5.3,0,0,0,0,0,3.8,,0.6,0.17,0.77,5.95,0.1,0.03,0.13,0.98,155.6,277,102,49.8,277,100,70.0,245,83,27.4,287,102,,,,0,
411,a,,,5.0,311,54,0,0,0,0,0.2,415,164,31,0,3.4,98,20,4,118,0.0,424,186,0.0,6.2,0,0,0,0,0,3.1,,1.28,0.68,1.96,5.49,0.22,0.12,0.34,0.94,133.4,286,103,76.2,254,88,112.0,215,66,32.2,278,97,,,,0,
413,a,,,8.5,10,6,0,0,0,0,13.2,33,9,73,0,4.6,17,10,12,326,0.0,671,299,0.0,8.6,0,0,0,0,0,3.2,,5.41,1.71,7.12,14.48,0.41,0.13,0.54,1.11,318.0,198,93,246.7,150,104,410.0,74,51,97.3,131,79,2.0,1.0,2.0,0,
417,a,,,6.5,71,50,0,0,0,0,8.0,52,16,0,0,0.0,675,301,0,0,0.0,631,270,0.0,0.0,0,0,0,0,0,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675,301,0.0,675,301,0.0,675,301,0.0,675,301,,,,0,
418,a,,,6.5,61,42,0,0,0,0,1.1,175,64,88,0,3.0,136,63,3,425,0.0,621,262,0.0,13.5,0,0,0,0,0,2.7,,1.32,3.81,5.13,15.18,0.08,0.23,0.31,0.91,453.8,139,59,515.9,67,54,528.0,54,37,150.0,71,50,,,3.0,0,
410,a,,,5.0,313,55,0,0,0,0,0.6,229,81,66,0,2.4,193,68,1,285,0.0,426,187,0.0,13.2,0,0,0,0,0,3.1,,1.32,1.01,2.33,27.6,0.06,0.05,0.11,1.32,293.8,202,73,218.6,160,33,139.0,188,51,65.0,208,65,,,,0,
424,a,,,5.5,185,119,0,0,0,0,0.1,486,165,3,0,1.0,375,176,0,13,0.0,538,210,0.0,0.5,0,0,0,0,0,2.5,,0.0,0.02,0.02,0.47,0.0,0.13,0.13,3.02,4.4,376,175,12.6,336,170,0.0,657,290,1.6,372,174,,,,0,
427,a,,,5.5,168,109,0,0,0,0,9.4,47,14,0,0,0.0,654,289,0,0,0.0,521,200,0.0,0.0,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654,289,0.0,654,289,0.0,651,286,0.0,654,289,,,,0,
430,a,,,14.0,2,1,0,0,0,0,22.0,14,3,181,0,5.8,5,2,26,795,0.0,680,73,0.0,12.9,0,0,0,0,0,4.5,,21.9,2.04,23.94,41.27,0.72,0.07,0.79,1.36,946.0,9,2,359.4,99,8,1511.0,2,1,281.8,6,2,,5.0,1.0,0,
431,a,,,5.0,302,16,0,0,0,0,0.5,267,37,8,0,2.0,248,26,0,22,0.0,415,76,0.0,1.6,0,0,0,0,0,2.6,,0.0,0.0,0.0,6.93,0.0,0.0,0.0,1.73,80.0,314,24,0.0,617,80,0.0,610,76,7.9,342,24,,,,0,
434,a,,,4.0,556,36,0,0,0,0,0.4,302,44,0,0,0.0,395,31,0,0,0.0,1,1,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391,30,0.0,378,18,0.0,344,3,0.0,391,30,,,,0,
436,a,,,5.0,259,39,0,0,0,0,1.1,174,62,68,0,2.3,208,72,3,312,0.0,372,171,0.0,13.6,0,0,0,0,0,2.1,,2.48,0.25,2.73,38.53,0.11,0.01,0.12,1.64,518.4,117,40,88.7,245,83,303.0,100,9,91.5,143,40,,,,0,
438,d,50.0,,5.0,278,47,0,0,0,0,1.0,194,67,88,0,2.4,192,67,5,410,0.0,391,179,0.0,17.6,0,0,0,0,0,1.1,,0.69,1.87,2.56,46.26,0.02,0.06,0.08,1.47,619.4,80,28,332.7,106,21,123.0,203,61,107.5,123,32,,,,0,
439,a,,,4.5,555,143,0,0,0,0,0.1,510,194,0,0,0.0,597,220,0,0,0.0,326,163,0.0,0.0,0,0,0,0,0,1.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596,220,0.0,592,219,0.0,577,219,0.0,596,220,,,,0,
440,a,,,4.5,404,96,0,0,0,0,2.6,110,36,95,0,2.9,138,38,9,352,0.0,175,116,0.0,21.1,0,0,0,0,0,1.4,,1.96,2.35,4.31,46.95,0.06,0.08,0.14,1.5,493.2,128,46,434.2,81,14,264.0,113,14,118.6,107,23,,,,0,
441,a,,,4.5,543,140,0,0,0,0,6.3,61,22,18,0,1.5,303,108,1,108,0.0,314,160,0.0,4.0,0,0,0,0,0,1.4,,0.43,1.27,1.7,10.26,0.05,0.14,0.19,1.1,106.4,302,109,175.3,189,47,112.0,214,65,39.4,260,87,,,,0,
442,a,,,4.5,366,67,0,0,0,0,0.6,230,82,48,0,1.8,267,94,3,217,0.0,137,87,0.0,10.7,0,0,0,0,0,1.4,,1.82,0.25,2.07,26.83,0.09,0.01,0.1,1.38,411.4,153,53,111.5,227,69,237.0,125,19,76.1,179,52,,,,0,
